id;d;dy;date;proklad;tg;tn;t2;t1_1;t1_2;t1_3;t1_4;qp_1;qo_1;qp_2;qo_2;qp_3;qo_3;qp_4;qo_4;qp_1gt5000;qo_1gt5000;qp_2gt5000;qo_2gt5000;qp_3gt5000;qo_3gt5000;qp_4gt5000;qo_4gt5000;mode
1;18;0;1;К;5;5;50;65;90;110;110;22;17;28;17;33;17;33;17;22;17;28;17;33;17;33;17;NULL
2;25;0;1;К;5;5;50;65;90;110;110;24;18;30;18;35;18;35;18;24;18;30;18;35;18;35;18;NULL
3;32;0;1;К;5;5;50;65;90;110;110;25;20;32;20;38;20;38;20;25;20;32;20;38;20;38;20;NULL
4;38;0;1;К;5;5;50;65;90;110;110;26;21;34;21;40;21;40;21;26;21;34;21;40;21;40;21;NULL
5;45;0;1;К;5;5;50;65;90;110;110;28;22;36;22;42;22;42;22;28;22;36;22;42;22;42;22;NULL
6;57;0;1;К;5;5;50;65;90;110;110;31;25;40;25;47;25;47;25;31;25;40;25;47;25;47;25;NULL
7;76;0;1;К;5;5;50;65;90;110;110;35;29;45;29;53;29;53;29;35;29;45;29;53;29;53;29;NULL
8;89;0;1;К;5;5;50;65;90;110;110;38;31;49;31;57;31;57;31;38;31;49;31;57;31;57;31;NULL
9;108;0;1;К;5;5;50;65;90;110;110;42;34;54;34;62;34;62;34;42;34;54;34;62;34;62;34;NULL
10;133;0;1;К;5;5;50;65;90;110;110;45;36;59;36;68;36;68;36;45;36;59;36;68;36;68;36;NULL
11;159;0;1;К;5;5;50;65;90;110;110;52;42;65;42;75;42;75;42;52;42;65;42;75;42;75;42;NULL
12;194;0;1;К;5;5;50;65;90;110;110;56;45;74;45;83;45;83;45;56;45;74;45;83;45;83;45;NULL
13;219;0;1;К;5;5;50;65;90;110;110;62;51;79;51;91;51;91;51;62;51;79;51;91;51;91;51;NULL
14;273;0;1;К;5;5;50;65;90;110;110;72;60;90;60;103;60;103;60;72;60;90;60;103;60;103;60;NULL
15;325;0;1;К;5;5;50;65;90;110;110;81;68;100;68;115;68;115;68;81;68;100;68;115;68;115;68;NULL
16;377;0;1;К;5;5;50;65;90;110;110;88;76;107;76;126;76;126;76;90;76;107;76;126;76;126;76;NULL
17;426;0;1;К;5;5;50;65;90;110;110;98;82;121;82;137;82;137;82;99;82;121;82;137;82;137;82;NULL
18;480;0;1;К;5;5;50;65;90;110;110;107;91;132;91;150;91;150;91;110;91;132;91;150;91;150;91;NULL
19;530;0;1;К;5;5;50;65;90;110;110;115;101;142;101;160;101;160;101;120;101;142;101;160;101;160;101;NULL
20;630;0;1;К;5;5;50;65;90;110;110;132;114;163;114;184;114;184;114;138;114;163;114;184;114;184;114;NULL
21;720;0;1;К;5;5;50;65;90;110;110;147;125;181;125;202;125;202;125;155;125;181;125;202;125;202;125;NULL
22;820;0;1;К;5;5;50;65;90;110;110;163;141;200;141;223;141;223;141;174;141;200;141;223;141;223;141;NULL
23;920;0;1;К;5;5;50;65;90;110;110;178;155;218;155;224;155;224;155;193;155;218;155;224;155;224;155;NULL
24;1020;0;1;К;5;5;50;65;90;110;110;196;170;240;170;266;170;266;170;212;170;240;170;266;170;266;170;NULL
25;1220;0;1;К;5;5;50;65;90;110;110;229;200;282;200;308;200;308;200;229;200;282;200;308;200;308;200;NULL
26;1420;0;1;К;5;5;50;65;90;110;110;260;228;326;228;352;228;352;228;260;228;326;228;352;228;352;228;NULL
27;18;0;1;Б;5;5;50;65;90;110;110;22;17;28;17;33;17;33;17;22;17;28;17;33;17;33;17;NULL
28;25;0;1;Б;5;5;50;65;90;110;110;24;18;30;18;35;18;35;18;24;18;30;18;35;18;35;18;NULL
29;0;15;4;Н;50;50;50;50;100;150;150;9;NULL;15;NULL;24;NULL;24;NULL;8;NULL;15;NULL;21;NULL;21;NULL;NULL
30;0;20;4;Н;50;50;50;50;100;150;150;9;NULL;18;NULL;27;NULL;27;NULL;9;NULL;16;NULL;24;NULL;24;NULL;NULL
31;0;25;4;Н;50;50;50;50;100;150;150;10;NULL;20;NULL;29;NULL;29;NULL;9;NULL;17;NULL;27;NULL;27;NULL;NULL
32;0;40;4;Н;50;50;50;50;100;150;150;12;NULL;22;NULL;34;NULL;34;NULL;10;NULL;20;NULL;30;NULL;30;NULL;NULL
33;0;50;4;Н;50;50;50;50;100;150;150;14;NULL;25;NULL;37;NULL;37;NULL;12;NULL;22;NULL;33;NULL;33;NULL;NULL
34;0;65;4;Н;50;50;50;50;100;150;150;15;NULL;28;NULL;41;NULL;41;NULL;14;NULL;25;NULL;37;NULL;37;NULL;NULL
35;0;80;4;Н;50;50;50;50;100;150;150;17;NULL;31;NULL;45;NULL;45;NULL;15;NULL;27;NULL;40;NULL;40;NULL;NULL
36;0;100;4;Н;50;50;50;50;100;150;150;19;NULL;34;NULL;49;NULL;49;NULL;16;NULL;29;NULL;43;NULL;43;NULL;NULL
37;0;125;4;Н;50;50;50;50;100;150;150;22;NULL;38;NULL;54;NULL;54;NULL;18;NULL;33;NULL;47;NULL;47;NULL;NULL
38;0;150;4;Н;50;50;50;50;100;150;150;23;NULL;41;NULL;60;NULL;60;NULL;20;NULL;36;NULL;52;NULL;52;NULL;NULL
39;0;200;4;Н;50;50;50;50;100;150;150;29;NULL;51;NULL;71;NULL;71;NULL;24;NULL;43;NULL;62;NULL;62;NULL;NULL
40;0;250;4;Н;50;50;50;50;100;150;150;34;NULL;58;NULL;82;NULL;82;NULL;28;NULL;49;NULL;71;NULL;71;NULL;NULL
41;0;300;4;Н;50;50;50;50;100;150;150;38;NULL;65;NULL;91;NULL;91;NULL;34;NULL;58;NULL;82;NULL;82;NULL;NULL
42;0;350;4;Н;50;50;50;50;100;150;150;46;NULL;79;NULL;110;NULL;110;NULL;39;NULL;66;NULL;93;NULL;93;NULL;NULL
43;0;400;4;Н;50;50;50;50;100;150;150;52;NULL;86;NULL;120;NULL;120;NULL;42;NULL;72;NULL;101;NULL;101;NULL;NULL
44;0;25;3;Б;50;50;50;65;90;110;110;13;9;19;9;22;8;22;8;12;8;17;8;21;7;21;7;NULL
45;0;30;3;Б;50;50;50;65;90;110;110;14;9;20;9;24;9;24;9;13;9;17;9;22;8;22;8;NULL
46;0;40;3;Б;50;50;50;65;90;110;110;16;10;22;10;27;9;27;9;14;9;19;9;23;9;23;9;NULL
47;0;50;3;Б;50;50;50;65;90;110;110;16;11;24;11;29;10;29;10;15;10;21;10;26;9;26;9;NULL
48;0;65;3;Б;50;50;50;65;90;110;110;20;14;28;12;34;11;34;11;17;11;25;11;29;10;29;10;NULL
49;0;80;3;Б;50;50;50;65;90;110;110;22;15;30;13;37;12;37;12;18;12;27;12;32;11;32;11;NULL
50;0;100;3;Б;50;50;50;65;90;110;110;24;16;34;14;41;14;41;14;21;14;30;13;35;12;35;12;NULL
51;0;125;3;Б;50;50;50;65;90;110;110;25;17;36;15;45;15;45;15;22;16;33;14;37;13;37;13;NULL
52;0;150;3;Б;50;50;50;65;90;110;110;28;19;40;16;47;16;47;16;23;16;36;15;41;14;41;14;NULL
53;0;200;3;Б;50;50;50;65;90;110;110;35;22;47;19;61;17;61;17;28;20;42;16;50;16;50;16;NULL
54;0;250;3;Б;50;50;50;65;90;110;110;40;26;56;22;68;18;68;18;33;22;47;18;57;17;57;17;NULL
55;0;300;3;Б;50;50;50;65;90;110;110;46;29;64;23;76;21;76;21;37;24;52;21;61;18;61;18;NULL
56;0;350;3;Б;50;50;50;65;90;110;110;50;32;68;25;84;22;84;22;40;27;55;22;69;19;69;19;NULL
57;0;400;3;Б;50;50;50;65;90;110;110;56;34;75;28;91;22;91;22;43;28;60;24;74;21;74;21;NULL
58;0;450;3;Б;50;50;50;65;90;110;110;60;36;82;28;99;23;99;23;47;31;68;27;78;22;78;22;NULL
59;0;500;3;Б;50;50;50;65;90;110;110;65;40;92;31;112;24;112;24;50;32;72;28;86;23;86;23;NULL
60;0;600;3;Б;50;50;50;65;90;110;110;72;42;103;33;125;26;125;26;58;36;80;30;97;27;97;27;NULL
61;0;700;3;Б;50;50;50;65;90;110;110;78;47;120;35;135;28;135;28;66;41;92;32;110;27;110;27;NULL
62;0;800;3;Б;50;50;50;65;90;110;110;91;53;129;39;156;31;156;31;73;44;103;33;120;29;120;29;NULL
63;0;900;3;Б;50;50;50;65;90;110;110;101;55;140;41;172;32;172;32;78;48;110;37;129;32;129;32;NULL
64;0;1000;3;Б;50;50;50;65;90;110;110;111;57;146;44;183;36;183;36;86;52;121;40;141;34;141;34;NULL
65;0;1200;3;Б;50;50;50;65;90;110;110;135;63;188;47;220;40;220;40;98;58;136;46;164;38;164;38;NULL
66;0;1400;3;Б;50;50;50;65;90;110;110;149;66;208;51;236;42;236;42;112;60;154;50;193;41;193;41;NULL
67;0;25;3;К;50;50;50;65;90;110;110;13;9;19;9;22;8;22;8;12;8;17;8;21;7;21;7;NULL
68;0;30;3;К;50;50;50;65;90;110;110;14;9;20;9;24;9;24;9;13;9;17;9;22;8;22;8;NULL
69;0;40;3;К;50;50;50;65;90;110;110;16;10;22;10;27;9;27;9;14;9;19;9;23;9;23;9;NULL
70;0;50;3;К;50;50;50;65;90;110;110;16;11;24;11;29;10;29;10;15;10;21;10;26;9;26;9;NULL
71;0;65;3;К;50;50;50;65;90;110;110;20;14;28;12;34;11;34;11;17;11;25;11;29;10;29;10;NULL
72;0;80;3;К;50;50;50;65;90;110;110;22;15;30;13;37;12;37;12;18;12;27;12;32;11;32;11;NULL
73;0;100;3;К;50;50;50;65;90;110;110;24;16;34;14;41;14;41;14;21;14;30;13;35;12;35;12;NULL
74;0;125;3;К;50;50;50;65;90;110;110;25;17;36;15;45;15;45;15;22;16;33;14;37;13;37;13;NULL
75;0;150;3;К;50;50;50;65;90;110;110;28;19;40;16;47;16;47;16;23;16;36;15;41;14;41;14;NULL
76;0;200;3;К;50;50;50;65;90;110;110;35;22;47;19;61;17;61;17;28;20;42;16;50;16;50;16;NULL
77;0;250;3;К;50;50;50;65;90;110;110;40;26;56;22;68;18;68;18;33;22;47;18;57;17;57;17;NULL
78;0;300;3;К;50;50;50;65;90;110;110;46;29;64;23;76;21;76;21;37;24;52;21;61;18;61;18;NULL
79;0;350;3;К;50;50;50;65;90;110;110;50;32;68;25;84;22;84;22;40;27;55;22;69;19;69;19;NULL
80;0;400;3;К;50;50;50;65;90;110;110;56;34;75;28;91;22;91;22;43;28;60;24;74;21;74;21;NULL
81;0;450;3;К;50;50;50;65;90;110;110;60;36;82;28;99;23;99;23;47;31;68;27;78;22;78;22;NULL
82;0;500;3;К;50;50;50;65;90;110;110;65;40;92;31;112;24;112;24;50;32;72;28;86;23;86;23;NULL
83;0;600;3;К;50;50;50;65;90;110;110;72;42;103;33;125;26;125;26;58;36;80;30;97;27;97;27;NULL
84;0;700;3;К;50;50;50;65;90;110;110;78;47;120;35;135;28;135;28;66;41;92;32;110;27;110;27;NULL
85;0;800;3;К;50;50;50;65;90;110;110;91;53;129;39;156;31;156;31;73;44;103;33;120;29;120;29;NULL
86;0;900;3;К;50;50;50;65;90;110;110;101;55;140;41;172;32;172;32;78;48;110;37;129;32;129;32;NULL
87;0;1000;3;К;50;50;50;65;90;110;110;111;57;146;44;183;36;183;36;86;52;121;40;141;34;141;34;NULL
88;0;1200;3;К;50;50;50;65;90;110;110;135;63;188;47;220;40;220;40;98;58;136;46;164;38;164;38;NULL
89;0;1400;3;К;50;50;50;65;90;110;110;149;66;208;51;236;42;236;42;112;60;154;50;193;41;193;41;NULL
90;0;25;3;Н;50;50;50;50;100;150;150;10;NULL;20;NULL;29;NULL;29;NULL;9;NULL;17;NULL;26;NULL;26;NULL;NULL
91;0;40;3;Н;50;50;50;50;100;150;150;13;NULL;23;NULL;34;NULL;34;NULL;10;NULL;21;NULL;31;NULL;31;NULL;NULL
92;0;50;3;Н;50;50;50;50;100;150;150;14;NULL;26;NULL;38;NULL;38;NULL;12;NULL;22;NULL;33;NULL;33;NULL;NULL
93;0;65;3;Н;50;50;50;50;100;150;150;16;NULL;29;NULL;43;NULL;43;NULL;13;NULL;25;NULL;38;NULL;38;NULL;NULL
94;0;80;3;Н;50;50;50;50;100;150;150;18;NULL;32;NULL;47;NULL;47;NULL;15;NULL;28;NULL;41;NULL;41;NULL;NULL
95;0;100;3;Н;50;50;50;50;100;150;150;20;NULL;35;NULL;52;NULL;52;NULL;16;NULL;30;NULL;45;NULL;45;NULL;NULL
96;0;125;3;Н;50;50;50;50;100;150;150;22;NULL;40;NULL;57;NULL;57;NULL;19;NULL;34;NULL;49;NULL;49;NULL;NULL
97;0;15;3;Н;50;50;50;50;100;150;150;8;NULL;16;NULL;24;NULL;24;NULL;7;NULL;14;NULL;21;NULL;21;NULL;NULL
98;0;20;3;Н;50;50;50;50;100;150;150;9;NULL;18;NULL;27;NULL;27;NULL;8;NULL;16;NULL;24;NULL;24;NULL;NULL
99;0;150;3;Н;50;50;50;50;100;150;150;25;NULL;45;NULL;63;NULL;63;NULL;21;NULL;38;NULL;53;NULL;53;NULL;NULL
100;0;200;3;Н;50;50;50;50;100;150;150;31;NULL;54;NULL;77;NULL;77;NULL;26;NULL;46;NULL;65;NULL;65;NULL;NULL
101;0;250;3;Н;50;50;50;50;100;150;150;36;NULL;62;NULL;89;NULL;89;NULL;30;NULL;53;NULL;74;NULL;74;NULL;NULL
102;0;300;3;Н;50;50;50;50;100;150;150;41;NULL;72;NULL;99;NULL;99;NULL;34;NULL;59;NULL;83;NULL;83;NULL;NULL
103;0;350;3;Н;50;50;50;50;100;150;150;47;NULL;79;NULL;109;NULL;109;NULL;39;NULL;65;NULL;91;NULL;91;NULL;NULL
104;0;400;3;Н;50;50;50;50;100;150;150;52;NULL;86;NULL;120;NULL;120;NULL;42;NULL;72;NULL;99;NULL;99;NULL;NULL
105;0;450;3;Н;50;50;50;50;100;150;150;57;NULL;93;NULL;128;NULL;128;NULL;46;NULL;76;NULL;106;NULL;106;NULL;NULL
106;0;500;3;Н;50;50;50;50;100;150;150;62;NULL;101;NULL;140;NULL;140;NULL;50;NULL;83;NULL;116;NULL;116;NULL;NULL
107;0;600;3;Н;50;50;50;50;100;150;150;71;NULL;116;NULL;159;NULL;159;NULL;57;NULL;95;NULL;131;NULL;131;NULL;NULL
108;0;700;3;Н;50;50;50;50;100;150;150;81;NULL;130;NULL;177;NULL;177;NULL;65;NULL;105;NULL;146;NULL;146;NULL;NULL
109;0;800;3;Н;50;50;50;50;100;150;150;91;NULL;145;NULL;197;NULL;197;NULL;72;NULL;116;NULL;148;NULL;148;NULL;NULL
110;0;900;3;Н;50;50;50;50;100;150;150;100;NULL;159;NULL;216;NULL;216;NULL;79;NULL;128;NULL;177;NULL;177;NULL;NULL
111;0;1000;3;Н;50;50;50;50;100;150;150;109;NULL;175;NULL;235;NULL;235;NULL;87;NULL;141;NULL;192;NULL;192;NULL;NULL
112;0;25;4;Б;50;50;50;65;90;110;110;15;11;20;10;25;9;25;9;13;10;18;10;23;8;23;8;NULL
113;0;32;4;Б;50;50;50;65;90;110;110;16;12;21;12;27;10;27;10;14;11;19;11;26;8;26;8;NULL
114;0;40;4;Б;50;50;50;65;90;110;110;17;13;23;12;30;10;30;10;15;12;20;12;26;10;26;10;NULL
115;0;50;4;Б;50;50;50;65;90;110;110;19;15;26;14;34;12;34;12;17;13;23;12;30;10;30;10;NULL
116;0;65;4;Б;50;50;50;65;90;110;110;23;17;31;16;39;13;39;13;20;15;27;15;34;12;34;12;NULL
117;0;80;4;Б;50;50;50;65;90;110;110;25;19;34;18;43;14;43;14;21;16;29;16;38;13;38;13;NULL
118;0;100;4;Б;50;50;50;65;90;110;110;28;21;38;20;48;16;48;16;24;18;33;17;42;15;42;15;NULL
119;0;125;4;Б;50;50;50;65;90;110;110;32;24;42;23;54;18;54;18;27;21;37;20;47;16;47;16;NULL
120;0;150;4;Б;50;50;50;65;90;110;110;36;28;48;26;60;21;60;21;31;23;41;22;53;18;53;18;NULL
121;0;200;4;Б;50;50;50;65;90;110;110;46;34;60;32;79;22;79;22;38;28;52;28;65;21;65;21;NULL
122;0;250;4;Б;50;50;50;65;90;110;110;54;41;70;37;94;25;94;25;45;34;59;32;78;23;78;23;NULL
123;0;300;4;Б;50;50;50;65;90;110;110;61;47;81;43;107;28;107;28;51;39;68;36;88;26;88;26;NULL
124;0;350;4;Б;50;50;50;65;90;110;110;68;52;90;49;120;32;120;32;58;43;75;41;100;27;100;27;NULL
125;0;400;4;Б;50;50;50;65;90;110;110;76;58;100;52;134;33;134;33;64;48;83;44;109;31;109;31;NULL
126;0;450;4;Б;50;50;50;65;90;110;110;84;64;110;59;148;35;148;35;70;52;92;47;119;33;119;33;NULL
127;0;500;4;Б;50;50;50;65;90;110;110;93;70;120;64;164;35;164;35;76;58;99;52;132;35;132;35;NULL
128;0;600;4;Б;50;50;50;65;90;110;110;107;81;141;73;177;36;177;36;88;66;116;60;150;42;150;42;NULL
129;0;700;4;Б;50;50;50;65;90;110;110;73;53;167;82;215;45;215;45;99;78;131;66;103;25;103;25;NULL
130;0;800;4;Б;50;50;50;65;90;110;110;139;100;180;88;243;50;243;50;111;83;148;73;124;30;124;30;NULL
131;0;900;4;Б;50;50;50;65;90;110;110;155;112;201;99;276;51;276;51;123;92;163;81;212;53;212;53;NULL
132;0;1000;4;Б;50;50;50;65;90;110;110;170;123;225;111;297;59;297;59;135;101;180;88;234;57;234;57;NULL
133;0;1200;4;Б;50;50;50;65;90;110;110;200;145;261;129;357;65;357;65;160;120;212;104;278;64;278;64;NULL
134;0;25;4;К;50;50;50;65;90;110;110;11;7;16;6;20;7;20;7;10;6;15;6;18;6;18;6;NULL
135;0;32;4;К;50;50;50;65;90;110;110;13;8;18;7;21;7;21;7;11;7;15;7;20;6;20;6;NULL
136;0;40;4;К;50;50;50;65;90;110;110;13;8;19;8;23;7;23;7;11;8;17;7;21;7;21;7;NULL
137;0;50;4;К;50;50;50;65;90;110;110;15;10;20;9;26;8;26;8;12;9;18;8;23;7;23;7;NULL
138;0;1400;4;Б;50;50;50;65;90;110;110;233;169;301;149;414;74;414;74;184;139;245;120;327;69;327;69;NULL
139;0;65;4;К;50;50;50;65;90;110;110;17;11;24;10;30;9;30;9;15;10;21;9;26;8;26;8;NULL
140;0;80;4;К;50;50;50;65;90;110;110;18;12;25;11;32;9;32;9;16;11;22;10;28;9;28;9;NULL
141;0;100;4;К;50;50;50;65;90;110;110;20;14;28;12;35;11;35;11;17;12;24;10;30;10;30;10;NULL
142;0;125;4;К;50;50;50;65;90;110;110;23;15;33;13;41;11;41;11;20;14;28;12;34;11;34;11;NULL
143;0;150;4;К;50;50;50;65;90;110;110;25;17;37;14;44;13;44;13;21;15;30;13;37;12;37;12;NULL
144;0;200;4;К;50;50;50;65;90;110;110;31;21;44;17;55;15;55;15;27;18;37;15;46;14;46;14;NULL
145;0;250;4;К;50;50;50;65;90;110;110;37;24;51;20;64;17;64;17;31;21;44;17;53;16;53;16;NULL
146;0;300;4;К;50;50;50;65;90;110;110;42;28;59;22;71;19;71;19;35;23;49;19;59;18;59;18;NULL
147;0;350;4;К;50;50;50;65;90;110;110;46;31;66;24;81;20;81;20;38;0;54;22;67;18;67;18;NULL
148;0;400;4;К;50;50;50;65;90;110;110;50;34;74;25;88;22;88;22;40;30;60;23;73;20;73;20;NULL
149;0;450;4;К;50;50;50;65;90;110;110;56;36;79;28;97;23;97;23;47;30;64;25;79;22;79;22;NULL
150;0;500;4;К;50;50;50;65;90;110;110;63;38;88;30;110;21;110;21;51;32;70;27;85;24;85;24;NULL
151;0;600;4;К;50;50;50;65;90;110;110;72;43;101;33;125;25;125;25;60;35;81;30;100;25;100;25;NULL
152;0;700;4;К;50;50;50;65;90;110;110;82;48;117;33;138;29;138;29;66;40;92;32;111;27;111;27;NULL
153;0;800;4;К;50;50;50;65;90;110;110;93;51;133;35;155;31;155;31;74;44;104;34;122;30;122;30;NULL
154;0;900;4;К;50;50;50;65;90;110;110;104;56;143;43;173;33;173;33;80;50;112;39;137;32;137;32;NULL
155;0;1000;4;К;50;50;50;65;90;110;110;116;59;155;46;187;37;187;37;89;54;121;44;147;35;147;35;NULL
156;0;1200;4;К;50;50;50;65;90;110;110;141;65;189;49;222;40;222;40;107;61;143;50;175;40;175;40;NULL
157;0;1400;4;К;50;50;50;65;90;110;110;164;71;219;53;254;46;254;46;123;67;166;54;199;44;199;44;NULL
158;0;450;4;Н;50;50;50;50;100;150;150;56;NULL;94;NULL;129;NULL;129;NULL;47;NULL;78;NULL;109;NULL;109;NULL;NULL
159;0;500;4;Н;50;50;50;50;100;150;150;61;NULL;101;NULL;139;NULL;139;NULL;50;NULL;84;NULL;117;NULL;117;NULL;NULL
160;0;600;4;Н;50;50;50;50;100;150;150;71;NULL;116;NULL;159;NULL;159;NULL;58;NULL;96;NULL;132;NULL;132;NULL;NULL
161;0;700;4;Н;50;50;50;50;100;150;150;78;NULL;129;NULL;175;NULL;175;NULL;65;NULL;107;NULL;146;NULL;146;NULL;NULL
162;0;800;4;Н;50;50;50;50;100;150;150;88;NULL;143;NULL;194;NULL;194;NULL;71;NULL;118;NULL;162;NULL;162;NULL;NULL
163;0;900;4;Н;50;50;50;50;100;150;150;96;NULL;157;NULL;213;NULL;213;NULL;78;NULL;129;NULL;176;NULL;176;NULL;NULL
164;0;1000;4;Н;50;50;50;50;100;150;150;106;NULL;171;NULL;231;NULL;231;NULL;86;NULL;140;NULL;191;NULL;191;NULL;NULL
165;0;1400;4;Н;50;50;50;50;100;150;150;142;NULL;227;NULL;305;NULL;305;NULL;114;NULL;185;NULL;250;NULL;250;NULL;NULL
166;32;0;1;Б;5;5;50;65;90;110;110;25;20;32;20;38;20;38;20;25;20;32;20;38;20;38;20;NULL
167;38;0;1;Б;5;5;50;65;90;110;110;26;21;34;21;40;21;40;21;26;21;34;21;40;21;40;21;NULL
168;45;0;1;Б;5;5;50;65;90;110;110;28;22;36;22;42;22;42;22;28;22;36;22;42;22;42;22;NULL
169;57;0;1;Б;5;5;50;65;90;110;110;31;25;40;25;47;25;47;25;31;25;40;25;47;25;47;25;NULL
170;76;0;1;Б;5;5;50;65;90;110;110;35;29;45;29;53;29;53;29;35;29;45;29;53;29;53;29;NULL
171;89;0;1;Б;5;5;50;65;90;110;110;38;31;49;31;57;31;57;31;38;31;49;31;57;31;57;31;NULL
172;108;0;1;Б;5;5;50;65;90;110;110;42;34;54;34;62;34;62;34;42;34;54;34;62;34;62;34;NULL
173;133;0;1;Б;5;5;50;65;90;110;110;45;36;59;36;68;36;68;36;45;36;59;36;68;36;68;36;NULL
174;159;0;1;Б;5;5;50;65;90;110;110;52;42;65;42;75;42;75;42;52;42;65;42;75;42;75;42;NULL
175;194;0;1;Б;5;5;50;65;90;110;110;56;45;74;45;83;45;83;45;56;45;74;45;83;45;83;45;NULL
176;219;0;1;Б;5;5;50;65;90;110;110;62;51;79;51;91;51;91;51;62;51;79;51;91;51;91;51;NULL
177;273;0;1;Б;5;5;50;65;90;110;110;72;60;90;60;103;60;103;60;72;60;90;60;103;60;103;60;NULL
178;325;0;1;Б;5;5;50;65;90;110;110;81;68;100;68;115;68;115;68;81;68;100;68;115;68;115;68;NULL
179;377;0;1;Б;5;5;50;65;90;110;110;88;76;107;76;126;76;126;76;90;76;107;76;126;76;126;76;NULL
180;426;0;1;Б;5;5;50;65;90;110;110;98;82;121;82;137;82;137;82;99;82;121;82;137;82;137;82;NULL
181;480;0;1;Б;5;5;50;65;90;110;110;107;91;132;91;150;91;150;91;110;91;132;91;150;91;150;91;NULL
182;530;0;1;Б;5;5;50;65;90;110;110;115;101;142;101;160;101;160;101;120;101;142;101;160;101;160;101;NULL
183;630;0;1;Б;5;5;50;65;90;110;110;132;114;163;114;184;114;184;114;138;114;163;114;184;114;184;114;NULL
184;720;0;1;Б;5;5;50;65;90;110;110;147;125;181;125;202;125;202;125;155;125;181;125;202;125;202;125;NULL
185;820;0;1;Б;5;5;50;65;90;110;110;163;141;200;141;223;141;223;141;174;141;200;141;223;141;223;141;NULL
186;920;0;1;Б;5;5;50;65;90;110;110;178;155;218;155;244;155;244;155;193;155;218;155;244;155;244;155;NULL
187;1020;0;1;Б;5;5;50;65;90;110;110;196;170;240;170;266;170;266;170;212;170;240;170;266;170;266;170;NULL
188;1220;0;1;Б;5;5;50;65;90;110;110;229;200;282;200;308;200;308;200;229;200;282;200;308;200;308;200;NULL
189;1420;0;1;Б;5;5;50;65;90;110;110;260;228;326;228;352;228;352;228;260;228;326;228;352;228;352;228;NULL
190;18;0;1;Н;5;5;50;50;75;100;125;11;NULL;19;NULL;27;NULL;33;NULL;11;NULL;19;NULL;27;NULL;33;NULL;NULL
191;25;0;1;Н;5;5;50;50;75;100;125;13;NULL;21;NULL;29;NULL;36;NULL;13;NULL;21;NULL;29;NULL;36;NULL;NULL
192;32;0;1;Н;5;5;50;50;75;100;125;15;NULL;23;NULL;31;NULL;38;NULL;15;NULL;23;NULL;31;NULL;38;NULL;NULL
193;38;0;1;Н;5;5;50;50;75;100;125;16;NULL;24;NULL;33;NULL;41;NULL;16;NULL;24;NULL;33;NULL;41;NULL;NULL
194;45;0;1;Н;5;5;50;50;75;100;125;18;NULL;27;NULL;36;NULL;45;NULL;18;NULL;27;NULL;36;NULL;45;NULL;NULL
195;57;0;1;Н;5;5;50;50;75;100;125;21;NULL;30;NULL;40;NULL;49;NULL;21;NULL;30;NULL;40;NULL;49;NULL;NULL
196;76;0;1;Н;5;5;50;50;75;100;125;25;NULL;35;NULL;45;NULL;55;NULL;25;NULL;35;NULL;45;NULL;55;NULL;NULL
197;89;0;1;Н;5;5;50;50;75;100;125;28;NULL;38;NULL;50;NULL;60;NULL;28;NULL;38;NULL;50;NULL;60;NULL;NULL
198;108;0;1;Н;5;5;50;50;75;100;125;31;NULL;43;NULL;55;NULL;67;NULL;31;NULL;43;NULL;55;NULL;67;NULL;NULL
199;133;0;1;Н;5;5;50;50;75;100;125;35;NULL;48;NULL;60;NULL;74;NULL;35;NULL;48;NULL;60;NULL;74;NULL;NULL
200;159;0;1;Н;5;5;50;50;75;100;125;38;NULL;50;NULL;65;NULL;80;NULL;38;NULL;50;NULL;65;NULL;80;NULL;NULL
201;194;0;1;Н;5;5;50;50;75;100;125;42;NULL;58;NULL;73;NULL;88;NULL;42;NULL;58;NULL;73;NULL;88;NULL;NULL
202;219;0;1;Н;5;5;50;50;75;100;125;46;NULL;60;NULL;78;NULL;95;NULL;46;NULL;60;NULL;78;NULL;95;NULL;NULL
203;273;0;1;Н;5;5;50;50;75;100;125;53;NULL;70;NULL;87;NULL;107;NULL;53;NULL;70;NULL;87;NULL;107;NULL;NULL
204;325;0;1;Н;5;5;50;50;75;100;125;60;NULL;80;NULL;100;NULL;120;NULL;60;NULL;80;NULL;100;NULL;120;NULL;NULL
205;377;0;1;Н;5;5;50;50;75;100;125;71;NULL;93;NULL;114;NULL;135;NULL;71;NULL;93;NULL;114;NULL;135;NULL;NULL
206;426;0;1;Н;5;5;50;50;75;100;125;82;NULL;105;NULL;128;NULL;150;NULL;82;NULL;105;NULL;128;NULL;150;NULL;NULL
207;480;0;1;Н;5;5;50;50;75;100;125;89;NULL;113;NULL;136;NULL;160;NULL;89;NULL;113;NULL;136;NULL;160;NULL;NULL
208;530;0;1;Н;5;5;50;50;75;100;125;95;NULL;120;NULL;145;NULL;170;NULL;95;NULL;120;NULL;145;NULL;170;NULL;NULL
209;630;0;1;Н;5;5;50;50;75;100;125;104;NULL;133;NULL;160;NULL;190;NULL;104;NULL;133;NULL;160;NULL;190;NULL;NULL
210;720;0;1;Н;5;5;50;50;75;100;125;115;NULL;145;NULL;176;NULL;206;NULL;115;NULL;145;NULL;176;NULL;206;NULL;NULL
