id;d;dy;date;proklad;tg;tn;t2;t1_1;t1_2;t1_3;t1_4;qp_1;qo_1;qp_2;qo_2;qp_3;qo_3;qp_4;qo_4;qp_1gt5000;qo_1gt5000;qp_2gt5000;qo_2gt5000;qp_3gt5000;qo_3gt5000;qp_4gt5000;qo_4gt5000;mode
5050;0;1000;3;Н;50;50;50;50;100;150;150;109;NULL;175;NULL;235;NULL;235;NULL;87;NULL;141;NULL;192;NULL;192;NULL;1
5051;0;25;4;Б;50;50;50;65;90;110;110;15;11;20;10;25;9;25;9;13;10;18;10;23;8;23;8;1
5052;0;32;4;Б;50;50;50;65;90;110;110;16;12;21;12;27;10;27;10;14;11;19;11;26;8;26;8;1
5053;0;40;4;Б;50;50;50;65;90;110;110;17;13;23;12;30;10;30;10;15;12;20;12;26;10;26;10;1
5054;0;50;4;Б;50;50;50;65;90;110;110;19;15;26;14;34;12;34;12;17;13;23;12;30;10;30;10;1
5055;0;65;4;Б;50;50;50;65;90;110;110;23;17;31;16;39;13;39;13;20;15;27;15;34;12;34;12;1
5056;0;80;4;Б;50;50;50;65;90;110;110;25;19;34;18;43;14;43;14;21;16;29;16;38;13;38;13;1
5057;0;100;4;Б;50;50;50;65;90;110;110;28;21;38;20;48;16;48;16;24;18;33;17;42;15;42;15;1
5058;0;125;4;Б;50;50;50;65;90;110;110;32;24;42;23;54;18;54;18;27;21;37;20;47;16;47;16;1
5059;0;150;4;Б;50;50;50;65;90;110;110;36;28;48;26;60;21;60;21;31;23;41;22;53;18;53;18;1
5060;0;200;4;Б;50;50;50;65;90;110;110;46;34;60;32;79;22;79;22;38;28;52;28;65;21;65;21;1
5061;0;250;4;Б;50;50;50;65;90;110;110;54;41;70;37;94;25;94;25;45;34;59;32;78;23;78;23;1
5062;0;300;4;Б;50;50;50;65;90;110;110;61;47;81;43;107;28;107;28;51;39;68;36;88;26;88;26;1
5063;0;350;4;Б;50;50;50;65;90;110;110;68;52;90;49;120;32;120;32;58;43;75;41;100;27;100;27;1
5064;0;400;4;Б;50;50;50;65;90;110;110;76;58;100;52;134;33;134;33;64;48;83;44;109;31;109;31;1
5065;0;450;4;Б;50;50;50;65;90;110;110;84;64;110;59;148;35;148;35;70;52;92;47;119;33;119;33;1
5066;0;500;4;Б;50;50;50;65;90;110;110;93;70;120;64;164;35;164;35;76;58;99;52;132;35;132;35;1
5067;0;600;4;Б;50;50;50;65;90;110;110;107;81;141;73;177;36;177;36;88;66;116;60;150;42;150;42;1
5068;0;700;4;Б;50;50;50;65;90;110;110;73;53;167;82;215;45;215;45;99;78;131;66;103;25;103;25;1
5069;0;800;4;Б;50;50;50;65;90;110;110;139;100;180;88;243;50;243;50;111;83;148;73;124;30;124;30;1
5070;0;900;4;Б;50;50;50;65;90;110;110;155;112;201;99;276;51;276;51;123;92;163;81;212;53;212;53;1
5071;0;1000;4;Б;50;50;50;65;90;110;110;170;123;225;111;297;59;297;59;135;101;180;88;234;57;234;57;1
5072;0;1200;4;Б;50;50;50;65;90;110;110;200;145;261;129;357;65;357;65;160;120;212;104;278;64;278;64;1
5073;0;25;4;К;50;50;50;65;90;110;110;11;7;16;6;20;7;20;7;10;6;15;6;18;6;18;6;1
5074;0;32;4;К;50;50;50;65;90;110;110;13;8;18;7;21;7;21;7;11;7;15;7;20;6;20;6;1
5075;0;40;4;К;50;50;50;65;90;110;110;13;8;19;8;23;7;23;7;11;8;17;7;21;7;21;7;1
5076;0;50;4;К;50;50;50;65;90;110;110;15;10;20;9;26;8;26;8;12;9;18;8;23;7;23;7;1
5077;0;1400;4;Б;50;50;50;65;90;110;110;233;169;301;149;414;74;414;74;184;139;245;120;327;69;327;69;1
5078;0;65;4;К;50;50;50;65;90;110;110;17;11;24;10;30;9;30;9;15;10;21;9;26;8;26;8;1
5079;0;80;4;К;50;50;50;65;90;110;110;18;12;25;11;32;9;32;9;16;11;22;10;28;9;28;9;1
5080;0;100;4;К;50;50;50;65;90;110;110;20;14;28;12;35;11;35;11;17;12;24;10;30;10;30;10;1
5081;0;125;4;К;50;50;50;65;90;110;110;23;15;33;13;41;11;41;11;20;14;28;12;34;11;34;11;1
5082;0;150;4;К;50;50;50;65;90;110;110;25;17;37;14;44;13;44;13;21;15;30;13;37;12;37;12;1
5083;0;200;4;К;50;50;50;65;90;110;110;31;21;44;17;55;15;55;15;27;18;37;15;46;14;46;14;1
5084;0;250;4;К;50;50;50;65;90;110;110;37;24;51;20;64;17;64;17;31;21;44;17;53;16;53;16;1
5085;0;300;4;К;50;50;50;65;90;110;110;42;28;59;22;71;19;71;19;35;23;49;19;59;18;59;18;1
5086;0;350;4;К;50;50;50;65;90;110;110;46;31;66;24;81;20;81;20;38;0;54;22;67;18;67;18;1
5087;0;400;4;К;50;50;50;65;90;110;110;50;34;74;25;88;22;88;22;40;30;60;23;73;20;73;20;1
5088;0;450;4;К;50;50;50;65;90;110;110;56;36;79;28;97;23;97;23;47;30;64;25;79;22;79;22;1
5089;0;500;4;К;50;50;50;65;90;110;110;63;38;88;30;110;21;110;21;51;32;70;27;85;24;85;24;1
5090;0;600;4;К;50;50;50;65;90;110;110;72;43;101;33;125;25;125;25;60;35;81;30;100;25;100;25;1
5091;0;700;4;К;50;50;50;65;90;110;110;82;48;117;33;138;29;138;29;66;40;92;32;111;27;111;27;1
5092;0;800;4;К;50;50;50;65;90;110;110;93;51;133;35;155;31;155;31;74;44;104;34;122;30;122;30;1
5093;0;900;4;К;50;50;50;65;90;110;110;104;56;143;43;173;33;173;33;80;50;112;39;137;32;137;32;1
5094;0;1000;4;К;50;50;50;65;90;110;110;116;59;155;46;187;37;187;37;89;54;121;44;147;35;147;35;1
5095;0;1200;4;К;50;50;50;65;90;110;110;141;65;189;49;222;40;222;40;107;61;143;50;175;40;175;40;1
5096;0;1400;4;К;50;50;50;65;90;110;110;164;71;219;53;254;46;254;46;123;67;166;54;199;44;199;44;1
5097;0;450;4;Н;50;50;50;50;100;150;150;56;NULL;94;NULL;129;NULL;129;NULL;47;NULL;78;NULL;109;NULL;109;NULL;1
5098;0;500;4;Н;50;50;50;50;100;150;150;61;NULL;101;NULL;139;NULL;139;NULL;50;NULL;84;NULL;117;NULL;117;NULL;1
5099;0;600;4;Н;50;50;50;50;100;150;150;71;NULL;116;NULL;159;NULL;159;NULL;58;NULL;96;NULL;132;NULL;132;NULL;1
5100;0;700;4;Н;50;50;50;50;100;150;150;78;NULL;129;NULL;175;NULL;175;NULL;65;NULL;107;NULL;146;NULL;146;NULL;1
5101;0;800;4;Н;50;50;50;50;100;150;150;88;NULL;143;NULL;194;NULL;194;NULL;71;NULL;118;NULL;162;NULL;162;NULL;1
5102;0;900;4;Н;50;50;50;50;100;150;150;96;NULL;157;NULL;213;NULL;213;NULL;78;NULL;129;NULL;176;NULL;176;NULL;1
5103;0;1000;4;Н;50;50;50;50;100;150;150;106;NULL;171;NULL;231;NULL;231;NULL;86;NULL;140;NULL;191;NULL;191;NULL;1
5104;0;1400;4;Н;50;50;50;50;100;150;150;142;NULL;227;NULL;305;NULL;305;NULL;114;NULL;185;NULL;250;NULL;250;NULL;1
5105;32;0;1;Б;5;5;50;65;90;110;110;25;20;32;20;38;20;38;20;25;20;32;20;38;20;38;20;1
5106;38;0;1;Б;5;5;50;65;90;110;110;26;21;34;21;40;21;40;21;26;21;34;21;40;21;40;21;1
5107;45;0;1;Б;5;5;50;65;90;110;110;28;22;36;22;42;22;42;22;28;22;36;22;42;22;42;22;1
5108;57;0;1;Б;5;5;50;65;90;110;110;31;25;40;25;47;25;47;25;31;25;40;25;47;25;47;25;1
5109;76;0;1;Б;5;5;50;65;90;110;110;35;29;45;29;53;29;53;29;35;29;45;29;53;29;53;29;1
5110;89;0;1;Б;5;5;50;65;90;110;110;38;31;49;31;57;31;57;31;38;31;49;31;57;31;57;31;1
5111;108;0;1;Б;5;5;50;65;90;110;110;42;34;54;34;62;34;62;34;42;34;54;34;62;34;62;34;1
5112;133;0;1;Б;5;5;50;65;90;110;110;45;36;59;36;68;36;68;36;45;36;59;36;68;36;68;36;1
5113;159;0;1;Б;5;5;50;65;90;110;110;52;42;65;42;75;42;75;42;52;42;65;42;75;42;75;42;1
5114;194;0;1;Б;5;5;50;65;90;110;110;56;45;74;45;83;45;83;45;56;45;74;45;83;45;83;45;1
5115;219;0;1;Б;5;5;50;65;90;110;110;62;51;79;51;91;51;91;51;62;51;79;51;91;51;91;51;1
5116;273;0;1;Б;5;5;50;65;90;110;110;72;60;90;60;103;60;103;60;72;60;90;60;103;60;103;60;1
5117;325;0;1;Б;5;5;50;65;90;110;110;81;68;100;68;115;68;115;68;81;68;100;68;115;68;115;68;1
5118;377;0;1;Б;5;5;50;65;90;110;110;88;76;107;76;126;76;126;76;90;76;107;76;126;76;126;76;1
5119;426;0;1;Б;5;5;50;65;90;110;110;98;82;121;82;137;82;137;82;99;82;121;82;137;82;137;82;1
5120;480;0;1;Б;5;5;50;65;90;110;110;107;91;132;91;150;91;150;91;110;91;132;91;150;91;150;91;1
5121;530;0;1;Б;5;5;50;65;90;110;110;115;101;142;101;160;101;160;101;120;101;142;101;160;101;160;101;1
5122;630;0;1;Б;5;5;50;65;90;110;110;132;114;163;114;184;114;184;114;138;114;163;114;184;114;184;114;1
5123;720;0;1;Б;5;5;50;65;90;110;110;147;125;181;125;202;125;202;125;155;125;181;125;202;125;202;125;1
5124;820;0;1;Б;5;5;50;65;90;110;110;163;141;200;141;223;141;223;141;174;141;200;141;223;141;223;141;1
5125;920;0;1;Б;5;5;50;65;90;110;110;178;155;218;155;244;155;244;155;193;155;218;155;244;155;244;155;1
5126;1020;0;1;Б;5;5;50;65;90;110;110;196;170;240;170;266;170;266;170;212;170;240;170;266;170;266;170;1
5127;1220;0;1;Б;5;5;50;65;90;110;110;229;200;282;200;308;200;308;200;229;200;282;200;308;200;308;200;1
5128;1420;0;1;Б;5;5;50;65;90;110;110;260;228;326;228;352;228;352;228;260;228;326;228;352;228;352;228;1
5129;18;0;1;Н;5;5;50;50;75;100;125;11;NULL;19;NULL;27;NULL;33;NULL;11;NULL;19;NULL;27;NULL;33;NULL;1
5130;25;0;1;Н;5;5;50;50;75;100;125;13;NULL;21;NULL;29;NULL;36;NULL;13;NULL;21;NULL;29;NULL;36;NULL;1
5131;32;0;1;Н;5;5;50;50;75;100;125;15;NULL;23;NULL;31;NULL;38;NULL;15;NULL;23;NULL;31;NULL;38;NULL;1
5132;38;0;1;Н;5;5;50;50;75;100;125;16;NULL;24;NULL;33;NULL;41;NULL;16;NULL;24;NULL;33;NULL;41;NULL;1
5133;45;0;1;Н;5;5;50;50;75;100;125;18;NULL;27;NULL;36;NULL;45;NULL;18;NULL;27;NULL;36;NULL;45;NULL;1
